Level	Rule Name	Subject	Property	Value
WARN	missing_definition	OMRSE:00000102	IAO:0000115	
WARN	missing_definition	OMRSE:00000105	IAO:0000115	
WARN	missing_definition	OMRSE:00000109	IAO:0000115	
WARN	missing_definition	OMRSE:00000111	IAO:0000115	
WARN	missing_definition	OMRSE:00000112	IAO:0000115	
WARN	missing_definition	OMRSE:00000113	IAO:0000115	
WARN	missing_definition	OMRSE:00000115	IAO:0000115	
WARN	missing_definition	OMRSE:00000116	IAO:0000115	
WARN	missing_definition	OMRSE:00000117	IAO:0000115	
WARN	missing_definition	OMRSE:00000118	IAO:0000115	
WARN	missing_definition	OMRSE:00000119	IAO:0000115	
WARN	missing_definition	OMRSE:00000120	IAO:0000115	
WARN	missing_definition	OMRSE:00000121	IAO:0000115	
WARN	missing_definition	OMRSE:00000122	IAO:0000115	
WARN	missing_definition	OMRSE:00000123	IAO:0000115	
WARN	missing_definition	OMRSE:00000125	IAO:0000115	
WARN	missing_definition	OMRSE:00000131	IAO:0000115	
WARN	missing_definition	OMRSE:00000134	IAO:0000115	
WARN	missing_definition	OMRSE:00000135	IAO:0000115	
WARN	missing_definition	OMRSE:00000136	IAO:0000115	
WARN	missing_definition	OMRSE:00000137	IAO:0000115	
WARN	missing_definition	OMRSE:00000139	IAO:0000115	
WARN	missing_definition	OMRSE:00000143	IAO:0000115	
WARN	missing_definition	OMRSE:00000149	IAO:0000115	
WARN	missing_definition	OMRSE:00000151	IAO:0000115	
WARN	missing_definition	OMRSE:00000152	IAO:0000115	
WARN	missing_definition	OMRSE:00000154	IAO:0000115	
WARN	missing_definition	OMRSE:00000155	IAO:0000115	
WARN	missing_definition	OMRSE:00000156	IAO:0000115	
WARN	missing_definition	OMRSE:00000158	IAO:0000115	
WARN	missing_definition	OMRSE:00000160	IAO:0000115	
WARN	missing_definition	OMRSE:00000163	IAO:0000115	
WARN	missing_definition	OMRSE:00000164	IAO:0000115	
WARN	missing_definition	OMRSE:00000165	IAO:0000115	
WARN	missing_definition	OMRSE:00000166	IAO:0000115	
WARN	missing_definition	OMRSE:00000167	IAO:0000115	
WARN	missing_definition	OMRSE:00000169	IAO:0000115	
WARN	missing_definition	OMRSE:00000170	IAO:0000115	
WARN	missing_definition	OMRSE:00000171	IAO:0000115	
WARN	missing_definition	OMRSE:00000172	IAO:0000115	
WARN	missing_definition	OMRSE:00000174	IAO:0000115	
WARN	missing_definition	OMRSE:00000175	IAO:0000115	
WARN	missing_definition	OMRSE:00000179	IAO:0000115	
WARN	missing_definition	OMRSE:00000188	IAO:0000115	
WARN	missing_definition	OMRSE:00000189	IAO:0000115	
WARN	missing_definition	OMRSE:00000190	IAO:0000115	
WARN	missing_definition	OMRSE:00000501	IAO:0000115	
WARN	missing_definition	OMRSE:00000502	IAO:0000115	
WARN	missing_definition	OMRSE:00000503	IAO:0000115	
WARN	missing_definition	OMRSE:00000504	IAO:0000115	
WARN	missing_definition	OMRSE:00000505	IAO:0000115	
WARN	missing_definition	OMRSE:00000506	IAO:0000115	
WARN	missing_definition	OMRSE:00002025	IAO:0000115	
WARN	missing_definition	OMRSE:00002026	IAO:0000115	
WARN	missing_definition	OMRSE:00002027	IAO:0000115	
WARN	missing_definition	OMRSE:00002028	IAO:0000115	
WARN	missing_definition	OMRSE:00002042	IAO:0000115	
WARN	missing_obsolete_label	OMRSE:00000168	rdfs:label	questions asking process@en
WARN	missing_obsolete_label	OMRSE:00000173	rdfs:label	material information bearer of question text plus answer set@en
WARN	missing_obsolete_label	OMRSE:00000176	rdfs:label	identity question asking process@en
WARN	missing_obsolete_label	OMRSE:00000177	rdfs:label	ethnic identity question asking process@en
WARN	missing_obsolete_label	OMRSE:00000178	rdfs:label	race identity question asking process@en
WARN	missing_xrefs	OMRSE:00000000	oboInOwl:hasDbXref	
WARN	missing_xrefs	OMRSE:00000001	oboInOwl:hasDbXref	
WARN	missing_xrefs	OMRSE:00000002	oboInOwl:hasDbXref	
